Date,BranchID,BranchName,ProductCategory,ProductName,Quantity,Price,TotalSales,Salesperson
2025-01-01,BR_02,Jakarta South,Electronics,Laptop ASUS Vivobook,3,8500000,25500000,Citra
2025-01-01,BR_04,Bandung Main,Electronics,Smartwatch Xiaomi,3,1200000,3600000,Dewi
2025-01-01,BR_06,Surabaya East,Fashion,Sepatu Sneakers,3,850000,2550000,Fitri
2025-01-01,BR_05,Surabaya Central,Electronics,Tablet iPad Air,2,9500000,19000000,Eko
2025-01-01,BR_03,Jakarta West,Beauty,Parfum EDT 100ml,3,450000,1350000,Eko
2025-01-01,BR_09,Medan,Fashion,Sepatu Sneakers,1,850000,850000,Hendra
2025-01-01,BR_01,Jakarta Central,Home & Living,Kipas Angin Standing,3,350000,1050000,Andi
2025-01-01,BR_04,Bandung Main,Home & Living,Rice Cooker Miyako,4,450000,1800000,Dewi
2025-01-01,BR_08,Yogyakarta,Fashion,Sepatu Sneakers,2,850000,1700000,Fitri
2025-01-01,BR_09,Medan,Home & Living,Lampu LED Smart,4,250000,1000000,Budi
2025-01-01,BR_07,Semarang,Home & Living,Rice Cooker Miyako,2,450000,900000,Dewi
2025-01-01,BR_02,Jakarta South,Electronics,Smartphone Samsung A54,2,4500000,9000000,Budi
2025-01-01,BR_07,Semarang,Electronics,Smartwatch Xiaomi,4,1200000,4800000,Dewi
2025-01-01,BR_09,Medan,Home & Living,Lampu LED Smart,1,250000,250000,Budi
2025-01-02,BR_09,Medan,Home & Living,Vacuum Cleaner,1,1200000,1200000,Indah
2025-01-02,BR_07,Semarang,Fashion,Tas Ransel,1,550000,550000,Indah
2025-01-02,BR_09,Medan,Fashion,Jaket Denim,1,650000,650000,Budi
2025-01-02,BR_05,Surabaya Central,Fashion,Dress Casual Wanita,3,450000,1350000,Eko
2025-01-02,BR_09,Medan,Electronics,Tablet iPad Air,3,9500000,28500000,Indah
2025-01-02,BR_01,Jakarta Central,Electronics,Headphone Sony WH-1000,3,3200000,9600000,Andi
2025-01-02,BR_01,Jakarta Central,Fashion,Jaket Denim,1,650000,650000,Andi
2025-01-02,BR_08,Yogyakarta,Electronics,Tablet iPad Air,2,9500000,19000000,Fitri
2025-01-02,BR_08,Yogyakarta,Fashion,Sepatu Sneakers,5,850000,4250000,Eko
2025-01-02,BR_07,Semarang,Fashion,Jaket Denim,2,650000,1300000,Indah
2025-01-02,BR_07,Semarang,Home & Living,Kipas Angin Standing,5,350000,1750000,Dewi
2025-01-02,BR_02,Jakarta South,Fashion,Dress Casual Wanita,1,450000,450000,Indah
2025-01-02,BR_01,Jakarta Central,Fashion,Jaket Denim,2,650000,1300000,Andi
2025-01-03,BR_01,Jakarta Central,Fashion,Kemeja Formal Pria,1,350000,350000,Eko
2025-01-03,BR_02,Jakarta South,Fashion,Sepatu Sneakers,4,850000,3400000,Budi
2025-01-03,BR_09,Medan,Fashion,Jaket Denim,5,650000,3250000,Indah
2025-01-03,BR_04,Bandung Main,Beauty,Parfum EDT 100ml,2,450000,900000,Indah
2025-01-03,BR_02,Jakarta South,Beauty,Foundation Maybelline,4,180000,720000,Eko
2025-01-03,BR_08,Yogyakarta,Electronics,Smartphone Samsung A54,1,4500000,4500000,Joko
2025-01-03,BR_06,Surabaya East,Electronics,Laptop ASUS Vivobook,2,8500000,17000000,Fitri
2025-01-03,BR_09,Medan,Beauty,Lipstik Matte,4,150000,600000,Hendra
2025-01-03,BR_05,Surabaya Central,Beauty,Lipstik Matte,1,150000,150000,Gita
2025-01-03,BR_09,Medan,Electronics,Smartphone Samsung A54,5,4500000,22500000,Hendra
2025-01-03,BR_02,Jakarta South,Fashion,Dress Casual Wanita,4,450000,1800000,Eko
2025-01-03,BR_08,Yogyakarta,Fashion,Tas Ransel,1,550000,550000,Fitri
2025-01-03,BR_07,Semarang,Electronics,Smartwatch Xiaomi,3,1200000,3600000,Dewi
2025-01-04,BR_09,Medan,Beauty,Lipstik Matte,2,150000,300000,Indah
2025-01-04,BR_04,Bandung Main,Electronics,Tablet iPad Air,5,9500000,47500000,Indah
2025-01-04,BR_06,Surabaya East,Electronics,Smartphone Samsung A54,5,4500000,22500000,Budi
2025-01-04,BR_09,Medan,Fashion,Kemeja Formal Pria,5,350000,1750000,Hendra
2025-01-04,BR_03,Jakarta West,Electronics,Tablet iPad Air,1,9500000,9500000,Eko
2025-01-04,BR_04,Bandung Main,Beauty,Skincare Set Korea,5,550000,2750000,Indah
2025-01-04,BR_10,Makassar,Electronics,Tablet iPad Air,1,9500000,9500000,Gita
2025-01-04,BR_10,Makassar,Home & Living,Vacuum Cleaner,2,1200000,2400000,Hendra
2025-01-04,BR_06,Surabaya East,Fashion,Sepatu Sneakers,4,850000,3400000,Fitri
2025-01-04,BR_05,Surabaya Central,Beauty,Foundation Maybelline,1,180000,180000,Hendra
2025-01-04,BR_08,Yogyakarta,Electronics,Smartphone Samsung A54,5,4500000,22500000,Fitri
2025-01-04,BR_09,Medan,Home & Living,Rice Cooker Miyako,3,450000,1350000,Hendra
2025-01-04,BR_04,Bandung Main,Home & Living,Vacuum Cleaner,2,1200000,2400000,Dewi
2025-01-04,BR_09,Medan,Home & Living,Lampu LED Smart,5,250000,1250000,Hendra
2025-01-04,BR_09,Medan,Home & Living,Blender Philips,2,750000,1500000,Indah
2025-01-04,BR_02,Jakarta South,Electronics,Tablet iPad Air,2,9500000,19000000,Indah
2025-01-04,BR_05,Surabaya Central,Fashion,Sepatu Sneakers,2,850000,1700000,Andi
2025-01-04,BR_09,Medan,Beauty,Foundation Maybelline,1,180000,180000,Hendra
2025-01-04,BR_07,Semarang,Home & Living,Blender Philips,1,750000,750000,Indah
2025-01-05,BR_03,Jakarta West,Beauty,Hair Dryer Panasonic,4,350000,1400000,Gita
2025-01-05,BR_01,Jakarta Central,Electronics,Smartphone Samsung A54,2,4500000,9000000,Dewi
2025-01-05,BR_01,Jakarta Central,Home & Living,Lampu LED Smart,5,250000,1250000,Andi
2025-01-05,BR_07,Semarang,Fashion,Kemeja Formal Pria,3,350000,1050000,Indah
2025-01-05,BR_01,Jakarta Central,Home & Living,Rice Cooker Miyako,2,450000,900000,Dewi
2025-01-05,BR_02,Jakarta South,Home & Living,Lampu LED Smart,4,250000,1000000,Budi
2025-01-05,BR_04,Bandung Main,Fashion,Dress Casual Wanita,4,450000,1800000,Indah
2025-01-05,BR_03,Jakarta West,Home & Living,Kipas Angin Standing,2,350000,700000,Budi
2025-01-05,BR_03,Jakarta West,Electronics,Smartwatch Xiaomi,1,1200000,1200000,Hendra
2025-01-05,BR_04,Bandung Main,Fashion,Tas Ransel,3,550000,1650000,Dewi
2025-01-05,BR_04,Bandung Main,Fashion,Kemeja Formal Pria,2,350000,700000,Dewi
2025-01-05,BR_06,Surabaya East,Home & Living,Blender Philips,3,750000,2250000,Eko
2025-01-05,BR_09,Medan,Beauty,Hair Dryer Panasonic,3,350000,1050000,Hendra
2025-01-05,BR_02,Jakarta South,Home & Living,Rice Cooker Miyako,5,450000,2250000,Indah
2025-01-05,BR_01,Jakarta Central,Electronics,Tablet iPad Air,4,9500000,38000000,Eko
2025-01-05,BR_06,Surabaya East,Beauty,Hair Dryer Panasonic,5,350000,1750000,Gita
2025-01-05,BR_07,Semarang,Fashion,Sepatu Sneakers,1,850000,850000,Dewi
2025-01-05,BR_01,Jakarta Central,Fashion,Sepatu Sneakers,4,850000,3400000,Andi
2025-01-06,BR_10,Makassar,Home & Living,Blender Philips,3,750000,2250000,Fitri
2025-01-06,BR_05,Surabaya Central,Beauty,Foundation Maybelline,4,180000,720000,Andi
2025-01-06,BR_09,Medan,Fashion,Dress Casual Wanita,4,450000,1800000,Budi
2025-01-06,BR_07,Semarang,Fashion,Jaket Denim,5,650000,3250000,Indah
2025-01-06,BR_07,Semarang,Electronics,Headphone Sony WH-1000,3,3200000,9600000,Budi
2025-01-06,BR_07,Semarang,Home & Living,Kipas Angin Standing,4,350000,1400000,Dewi
2025-01-06,BR_04,Bandung Main,Beauty,Lipstik Matte,1,150000,150000,Dewi
2025-01-06,BR_09,Medan,Home & Living,Blender Philips,2,750000,1500000,Budi
2025-01-06,BR_05,Surabaya Central,Fashion,Dress Casual Wanita,2,450000,900000,Hendra
2025-01-06,BR_01,Jakarta Central,Fashion,Tas Ransel,5,550000,2750000,Andi
2025-01-07,BR_07,Semarang,Fashion,Tas Ransel,4,550000,2200000,Dewi
2025-01-07,BR_04,Bandung Main,Fashion,Kemeja Formal Pria,1,350000,350000,Dewi
2025-01-07,BR_04,Bandung Main,Fashion,Jaket Denim,4,650000,2600000,Indah
2025-01-07,BR_09,Medan,Fashion,Kemeja Formal Pria,4,350000,1400000,Hendra
2025-01-07,BR_08,Yogyakarta,Home & Living,Kipas Angin Standing,5,350000,1750000,Eko
2025-01-07,BR_09,Medan,Beauty,Hair Dryer Panasonic,4,350000,1400000,Hendra
2025-01-07,BR_08,Yogyakarta,Beauty,Foundation Maybelline,2,180000,360000,Eko
2025-01-07,BR_05,Surabaya Central,Beauty,Lipstik Matte,3,150000,450000,Gita
2025-01-07,BR_02,Jakarta South,Home & Living,Rice Cooker Miyako,3,450000,1350000,Indah
2025-01-07,BR_06,Surabaya East,Electronics,Laptop ASUS Vivobook,2,8500000,17000000,Fitri
2025-01-07,BR_07,Semarang,Fashion,Dress Casual Wanita,1,450000,450000,Dewi
2025-01-08,BR_06,Surabaya East,Beauty,Parfum EDT 100ml,1,450000,450000,Fitri
2025-01-08,BR_07,Semarang,Beauty,Hair Dryer Panasonic,1,350000,350000,Dewi
2025-01-08,BR_08,Yogyakarta,Electronics,Headphone Sony WH-1000,3,3200000,9600000,Joko
2025-01-08,BR_07,Semarang,Fashion,Tas Ransel,2,550000,1100000,Indah
2025-01-08,BR_07,Semarang,Beauty,Skincare Set Korea,4,550000,2200000,Indah
2025-01-08,BR_07,Semarang,Fashion,Tas Ransel,2,550000,1100000,Fitri
2025-01-08,BR_07,Semarang,Electronics,Smartphone Samsung A54,4,4500000,18000000,Budi
2025-01-08,BR_08,Yogyakarta,Fashion,Kemeja Formal Pria,3,350000,1050000,Joko
2025-01-08,BR_06,Surabaya East,Fashion,Tas Ransel,3,550000,1650000,Eko
2025-01-08,BR_07,Semarang,Home & Living,Kipas Angin Standing,3,350000,1050000,Fitri
2025-01-08,BR_08,Yogyakarta,Electronics,Tablet iPad Air,1,9500000,9500000,Joko
2025-01-09,BR_02,Jakarta South,Electronics,Smartphone Samsung A54,2,4500000,9000000,Budi
2025-01-09,BR_01,Jakarta Central,Fashion,Dress Casual Wanita,2,450000,900000,Eko
2025-01-09,BR_02,Jakarta South,Fashion,Tas Ransel,3,550000,1650000,Indah
2025-01-09,BR_03,Jakarta West,Electronics,Laptop ASUS Vivobook,3,8500000,25500000,Andi
2025-01-09,BR_10,Makassar,Electronics,Headphone Sony WH-1000,5,3200000,16000000,Hendra
2025-01-09,BR_07,Semarang,Beauty,Lipstik Matte,1,150000,150000,Budi
2025-01-09,BR_02,Jakarta South,Home & Living,Lampu LED Smart,1,250000,250000,Citra
2025-01-09,BR_06,Surabaya East,Beauty,Foundation Maybelline,1,180000,180000,Eko
2025-01-09,BR_01,Jakarta Central,Beauty,Parfum EDT 100ml,1,450000,450000,Eko
2025-01-10,BR_08,Yogyakarta,Fashion,Tas Ransel,2,550000,1100000,Eko
2025-01-10,BR_09,Medan,Home & Living,Lampu LED Smart,5,250000,1250000,Indah
2025-01-10,BR_08,Yogyakarta,Beauty,Hair Dryer Panasonic,3,350000,1050000,Joko
2025-01-10,BR_04,Bandung Main,Electronics,Headphone Sony WH-1000,4,3200000,12800000,Indah
2025-01-10,BR_08,Yogyakarta,Beauty,Foundation Maybelline,1,180000,180000,Joko
2025-01-10,BR_06,Surabaya East,Fashion,Tas Ransel,2,550000,1100000,Eko
2025-01-10,BR_05,Surabaya Central,Home & Living,Vacuum Cleaner,5,1200000,6000000,Andi
2025-01-10,BR_09,Medan,Electronics,Tablet iPad Air,2,9500000,19000000,Hendra
2025-01-10,BR_04,Bandung Main,Beauty,Parfum EDT 100ml,5,450000,2250000,Indah
2025-01-10,BR_08,Yogyakarta,Beauty,Parfum EDT 100ml,1,450000,450000,Fitri
2025-01-11,BR_07,Semarang,Fashion,Sepatu Sneakers,5,850000,4250000,Indah
2025-01-11,BR_08,Yogyakarta,Home & Living,Kipas Angin Standing,5,350000,1750000,Joko
2025-01-11,BR_06,Surabaya East,Beauty,Foundation Maybelline,3,180000,540000,Eko
2025-01-11,BR_04,Bandung Main,Electronics,Laptop ASUS Vivobook,3,8500000,25500000,Indah
2025-01-11,BR_09,Medan,Fashion,Dress Casual Wanita,2,450000,900000,Budi
2025-01-11,BR_08,Yogyakarta,Home & Living,Lampu LED Smart,5,250000,1250000,Eko
2025-01-11,BR_05,Surabaya Central,Electronics,Laptop ASUS Vivobook,3,8500000,25500000,Eko
2025-01-11,BR_06,Surabaya East,Fashion,Sepatu Sneakers,1,850000,850000,Fitri
